"","x"
"420",132590
"421",132590
"422",132590
"423",132590
"424",132590
"425",132590
"426",132590
"427",132599
"428",132599
"429",132599
"430",132599
"431",132599
"432",132599
"433",132599
"434",132599
"435",132599
"436",132599
"437",132599
"438",132599
"439",132599
"440",132599
"441",132599
"442",132599
"443",132599
"444",132599
"445",132599
"446",132599
"447",132599
"448",132599
"449",132599
"450",132599
"451",132599
"452",132599
"453",132599
"454",132599
"455",132599
"456",132599
"457",132599
"458",132599
"459",132599
"460",132599
"461",132599
"462",132599
"463",132599
"464",132599
"465",132599
"466",132599
"467",132599
"468",132599
"469",132599
"470",132599
"471",132599
"472",132599
"473",132599
"474",132601
"475",132601
"476",132601
"477",132601
"478",132601
"479",132601
"480",132601
"481",132601
"482",132601
"483",132601
"484",132601
"485",132601
"486",132601
"487",132601
"488",132601
"489",132601
"490",132601
"491",132601
"492",132601
"493",132601
"494",132601
"495",132601
"496",132601
"497",132601
"498",132601
"499",132601
"500",132601
"501",132601
"502",132601
"503",132601
"504",132601
"505",132601
"506",132601
"507",132601
"508",132601
"509",132601
"510",132601
"511",132601
"512",132601
"513",132601
"514",132601
"515",132601
"516",132601
"517",132601
"518",132601
"519",132601
"520",132601
"521",132601
"522",132602
"523",132602
"524",132602
"525",132602
"526",132602
"527",132614
"528",132614
"529",132614
"530",132614
"531",132614
"532",132614
"533",132614
"534",132614
"535",132614
"536",132614
"537",132614
"538",132614
"539",132614
"540",132614
"541",132614
"542",132614
"543",132614
"544",132614
"545",132614
"546",132614
"547",132614
"548",132614
"549",132614
"550",132615
"551",132615
"552",132615
"553",132615
"554",132615
"555",132615
"556",132615
"557",132615
"558",132615
"559",132615
"560",132615
"561",132615
"562",132615
"563",132615
"564",132615
"565",132615
"566",132615
"567",132615
"568",132615
"569",132615
"570",132615
"571",132615
"572",132615
"573",132615
"574",132615
"575",132615
"576",132615
"577",132615
"578",132615
"579",132615
"580",132615
"581",132615
"582",132615
"583",132615
"584",132615
"585",132615
"586",132615
"587",132615
"588",132615
"589",132615
"590",132615
"591",132615
"592",132615
"593",132615
"594",132615
"595",132615
"596",132615
"597",132615
"598",132615
"599",132615
"600",132615
"601",132615
"602",132615
"603",132615
"604",132615
"605",132615
"606",132615
"607",132615
"608",132615
"609",132615
"610",132615
"611",132617
"612",132617
"613",132617
"614",132617
"615",132617
"616",132617
"617",132617
"618",132617
"619",132617
"620",132617
"621",132617
"622",132617
"623",132617
"624",132617
"625",132617
"626",132617
"627",132617
"628",132617
"629",132617
"630",132617
"631",132617
"632",132617
"633",132617
"634",132617
"635",132617
"636",132617
"637",132617
"638",132617
"639",132618
"640",132618
"641",132618
"642",132618
"643",132618
"644",132618
"645",132618
"646",132618
"647",132618
"648",132618
"649",132618
"650",132618
"651",132618
"652",132618
"653",132618
"654",132618
"655",132618
"656",132618
"657",132618
"658",132618
"659",132618
"660",132618
"661",132618
"662",132618
"663",132618
"664",132618
"665",132618
"666",132618
"667",132618
"668",132618
"669",132618
"670",132618
"671",132618
"672",132618
"673",132618
"674",132618
"675",132618
"676",132618
"677",132623
"678",132623
"679",132623
"680",132623
"681",132623
"682",132623
"683",132623
"684",132623
"685",132623
"686",132623
"687",132623
"688",132623
"689",132623
"690",132623
"691",132623
"692",132623
"693",132623
"694",132623
"695",132623
"696",132623
"697",132623
"698",132623
"699",132623
"700",132623
"701",132623
"702",132623
"703",132623
"704",132623
"705",132623
"706",132623
"707",132623
"708",132623
"709",132623
"710",132623
"711",132623
"712",132623
"713",132623
"714",132623
"715",132623
"716",132623
"717",132635
"718",132635
"719",132635
"720",132635
"721",132635
"722",132635
"723",132635
"724",132635
"725",132635
"726",132635
"727",132635
"728",132635
"729",132635
"730",132635
"731",132635
"732",132635
"733",132635
"734",132635
"735",132635
"736",132635
"737",132635
"738",132635
"739",132635
"740",132635
"741",132635
"742",132635
"743",132635
"744",132635
"745",132635
"746",132635
"747",132635
"748",132635
"749",132635
"750",132635
"751",132635
"752",132635
"753",132635
"754",132635
"755",132635
"756",132635
"757",132635
"758",132635
"759",132635
"760",132635
"761",132635
"762",132635
"763",132635
"764",132635
"765",132635
"766",132635
"767",132635
"768",132635
"769",132635
"770",132635
"771",132635
"772",132635
"773",132635
"774",132635
"775",132635
"776",132635
"777",132635
"778",132635
"779",132635
"780",132635
"781",132635
"782",132635
"783",132635
"784",132635
"785",132635
"786",132635
"787",132635
"788",132637
"789",132637
"790",132637
"791",132637
"792",132637
"793",132637
"794",132637
"795",132637
"796",132637
"797",132637
"798",132637
"799",132637
"800",132637
"801",132637
"802",132637
"803",132637
"804",132637
"805",132637
"806",132637
"807",132637
"808",132637
"809",132637
"810",132637
"811",132637
"812",132637
"813",132637
"814",132637
"815",132637
"816",132637
"817",132637
"818",132637
"819",132637
"820",132637
"821",132637
"822",132637
"823",132637
"824",132637
"825",132637
"826",132637
"827",132637
"828",132637
"829",132637
"830",132637
"831",132637
"832",132637
"833",132637
"834",132637
"835",132637
"836",132637
"837",132637
"838",132637
"839",132637
"840",132637
"841",132637
"842",132637
"843",132637
"844",132637
"845",132637
"846",132637
"847",132637
"848",132637
"849",132637
"850",132637
"851",132637
"852",132637
"853",132639
"854",132639
"855",132639
"856",132639
"857",132639
"858",132639
"859",132639
"860",132639
"861",132639
"862",132639
"863",132639
"864",132639
"865",132639
"866",132639
"867",132639
"868",132639
"869",132639
"870",132639
"871",132639
"872",132639
"873",132639
"874",132639
"875",132639
"876",132639
"877",132639
"878",132639
"879",132639
"880",132639
"881",132639
"882",132639
"883",132639
"884",132639
"885",132639
"886",132639
"887",132639
"888",132639
"889",132639
"890",132639
"891",132639
"892",132639
"893",132639
"894",132639
"895",132639
"896",132639
"897",132639
"898",132639
"899",132639
"900",132639
"901",132639
"902",132639
"903",132639
"904",132639
"905",132639
"906",132639
"907",132639
"908",132639
"909",132639
"910",132639
"911",132639
"912",132639
"913",132639
"914",132639
"915",132639
"916",132639
"917",132639
"918",132644
"919",132648
"920",132648
"921",132648
"922",132648
"923",132648
"924",132648
"925",132648
"926",132648
"927",132648
"928",132648
"929",132648
"930",132648
"931",132648
"932",132648
"933",132648
"934",132648
"935",132648
"936",132648
"937",132648
"938",132648
"939",132648
"940",132648
"941",132648
"942",132648
"943",132648
"944",132648
"945",132648
"946",132648
"947",132648
"948",132648
"949",132648
"950",132648
"951",132648
"952",132648
"953",132648
"954",132648
"955",132648
"956",132648
"957",132648
"958",132648
"959",132648
"960",132648
"961",132648
"962",132648
"963",132648
"964",132653
"965",132653
"966",132653
"967",132653
"968",132653
"969",132653
"970",132653
"971",132653
"972",132653
"973",132653
"974",132653
"975",132653
"976",132653
"977",132653
"978",132653
"979",132653
"980",132653
"981",132653
"982",132653
"983",132653
"984",132653
"985",132653
"986",132653
"987",132653
"988",132653
"989",132653
"990",132653
"991",132653
"992",132653
"993",132653
"994",132653
"995",132653
"996",132653
"997",132653
"998",132653
"999",132653
"1000",132653
"1001",132653
"1002",132653
"1003",132653
"1004",132653
"1005",132653
"1006",132653
"1007",132653
"1008",132653
"1009",132653
"1010",132653
"1011",132653
"1012",132653
"1013",132653
"1014",132653
"1015",132653
"1016",132653
"1017",132653
"1018",132653
"1019",132653
"1020",132653
"1021",132653
"1022",132653
"1023",132653
"1024",132653
"1025",132653
"1026",132653
"1027",132653
"1028",132653
"1029",132653
"1030",132653
"1031",132653
"1032",132653
"1033",132653
"1034",132653
"1035",132653
"1036",132653
"1037",132653
"1038",132653
"1039",132653
"1040",132653
"1041",132653
"1042",132653
"1043",132653
"1044",132653
"1045",132653
"1046",132653
"1047",132658
"1048",132658
"1049",132658
"1050",132658
"1051",132658
"1052",132658
"1053",132658
"1054",132658
"1055",132658
"1056",132658
"1057",132658
"1058",132658
"1059",132658
"1060",132658
"1061",132658
"1062",132658
"1063",132658
"1064",132658
"1065",132658
"1066",132658
"1067",132658
"1068",132658
"1069",132658
"1070",132658
"1071",132658
"1072",132658
"1073",132658
"1074",132658
"1075",132658
"1076",132658
"1077",132658
"1078",132658
"1079",132658
"1080",132658
"1081",132658
"1082",132658
"1083",132658
"1084",132658
"1085",132658
"1086",132658
"1087",132658
"1088",132658
"1089",132658
"1090",132658
"1091",132658
"1092",132658
"1093",132658
"1094",132658
"1095",132658
"1096",132658
"1097",132658
"1098",132658
"1099",132658
"1100",132658
"1101",132658
"1102",132658
"1103",132658
"1104",132658
"1105",132658
"1106",132658
"1107",132658
"1108",132658
"1109",132658
"1110",132658
"1111",132658
"1112",132658
"1113",132658
"1114",132658
"1115",132658
"1116",132658
"1117",132658
"1118",132658
"1119",132658
"1120",132658
"1121",132658
"1122",132658
"1123",132658
"1124",132658
"1125",132658
"1126",132658
"1127",132658
"1128",132658
"1129",132658
"1130",132658
"1131",132659
"1132",132659
"1133",132659
"1134",132659
"1135",132659
"1136",132659
"1137",132659
"1138",132659
"1139",132659
"1140",132659
"1141",132659
"1142",132659
"1143",132659
"1144",132659
"1145",132659
"1146",132659
"1147",132659
"1148",132659
"1149",132659
"1150",132659
"1151",132659
"1152",132659
"1153",132659
"1154",132659
"1155",132659
"1156",132659
"1157",132659
"1158",132659
"1159",132659
"1160",132659
"1161",132659
"1162",132659
"1163",132659
"1164",132659
"1165",132659
"1166",132659
"1167",132659
"1168",132659
"1169",132659
"1170",132659
"1171",132659
"1172",132659
"1173",132659
"1174",132659
"1175",132659
"1176",132659
"1177",132659
"1178",132659
"1179",132659
"1180",132659
"1181",132659
"1182",132659
"1183",132659
"1184",132659
"1185",132659
"1186",132659
"1187",132659
"1188",132659
"1189",132659
"1190",132659
"1191",132659
"1192",132659
"1193",132659
"1194",132659
"1195",132659
"1196",132659
"1197",132659
"1198",132659
"1199",132659
"1200",132659
"1201",132659
"1202",132659
"1203",132659
"1204",132659
"1205",132659
"1206",132659
"1207",132659
"1208",132659
"1209",132659
"1210",132659
"1211",132659
"1212",132659
"1213",132659
"1214",132659
"1215",132659
"1216",132659
"1217",132659
"1218",132659
"1219",132659
"1220",132659
"1221",132659
"1222",132659
"1223",132659
"1224",132662
"1225",132662
"1226",132662
"1227",132662
"1228",132662
"1229",132662
"1230",132662
"1231",132662
"1232",132662
"1233",132662
"1234",132662
"1235",132662
"1236",132662
"1237",132662
"1238",132662
"1239",132662
"1240",132662
"1241",132662
"1242",132662
"1243",132662
"1244",132662
"1245",132662
"1246",132662
"1247",132662
"1248",132662
"1249",132662
"1250",132662
"1251",132662
"1252",132662
"1253",132662
"1254",132662
"1255",132662
"1256",132662
"1257",132662
"1258",132662
"1259",132662
"1260",132662
"1261",132662
"1262",132662
"1263",132663
"1264",132663
"1265",132663
"1266",132663
"1267",132663
"1268",132663
"1269",132663
"1270",132663
"1271",132663
"1272",132663
"1273",132663
"1274",132663
"1275",132663
"1276",132666
"1277",132666
"1278",132666
"1279",132666
"1280",132666
"1281",132666
"1282",132666
"1283",132666
"1284",132666
"1285",132666
"1286",132666
"1287",132666
"1288",132666
"1289",132666
"1290",132666
"1291",132666
"1292",132666
"1293",132666
"1294",132666
"1295",132666
"1296",132666
"1297",132666
"1298",132666
"1299",132666
"1300",132666
"1301",132666
"1302",132666
"1303",132666
"1304",132666
"1305",132666
"1306",132669
"1307",132669
"1308",132669
"1309",132669
"1310",132669
"1311",132669
"1312",132669
"1313",132669
"1314",132669
"1315",132669
"1316",132669
"1317",132669
"1318",132669
"1319",132669
"1320",132669
"1321",132669
"1322",132669
"1323",132669
"1324",132669
"1325",132669
"1326",132669
"1327",132669
"1328",132669
"1329",132669
"1330",132669
"1331",132669
"1332",132669
"1333",132669
"1334",132669
"1335",132669
"1336",132669
"1337",132669
"1338",132669
"1339",132669
"1340",132669
"1341",132669
"1342",132669
"1343",132669
"1344",132669
"1345",132669
"1346",132669
"1347",132669
"1348",132669
"1349",132669
"1350",132669
"1351",132669
"1352",132669
"1353",132669
"1354",132669
"1355",132669
"1356",132669
"1357",132669
"1358",132669
"1359",132669
"1360",132669
"1361",132669
"1362",132669
"1363",132669
"1364",132669
"1365",132669
"1366",132669
"1367",132669
"1368",132669
"1369",132669
"1370",132669
"1371",132669
"1372",132669
"1373",132669
"1374",132669
"1375",132671
"1376",132671
"1377",132671
"1378",132671
"1379",132671
"1380",132671
"1381",132671
"1382",132671
"1383",132671
"1384",132671
"1385",132671
"1386",132671
"1387",132671
"1388",132671
"1389",132671
"1390",132671
"1391",132671
"1392",132671
"1393",132671
"1394",132671
"1395",132671
"1396",132671
"1397",132671
"1398",132671
"1399",132671
"1400",132671
"1401",132671
"1402",132671
"1403",132671
"1404",132671
"1405",132671
"1406",132671
"1407",132671
"1408",132671
"1409",132671
"1410",132671
"1411",132671
"1412",132671
"1413",132671
"1414",132671
"1415",132671
"1416",132686
"1417",132686
"1418",132686
"1419",132686
"1420",132686
"1421",132686
"1422",132686
"1423",132686
"1424",132686
"1425",132686
"1426",132686
"1427",132686
"1428",132686
"1429",132686
"1430",132686
"1431",132686
"1432",132686
"1433",132686
"1434",132686
"1435",132686
"1436",132686
"1437",132686
"1438",132686
"1439",132686
"1440",132686
"1441",132686
"1442",132686
"1443",132686
"1444",132686
"1445",132686
"1446",132686
"1447",132686
"1448",132686
"1449",132686
"1450",132686
"1451",132686
"1452",132686
"1453",132686
"1454",132686
"1455",132686
"1456",132686
"1457",132688
"1458",132688
"1459",132688
"1460",132688
"1461",132688
"1462",132688
"1463",132688
"1464",132688
"1465",132688
"1466",132688
"1467",132688
"1468",132688
"1469",132688
"1470",132688
"1471",132688
"1472",132688
"1473",132688
"1474",132688
"1475",132688
"1476",132688
"1477",132688
"1478",132688
"1479",132688
"1480",132688
"1481",132688
"1482",132688
"1483",132688
"1484",132688
"1485",132688
"1486",132688
"1487",132688
"1488",132688
"1489",132688
"1490",132688
"1491",132688
"1492",132688
"1493",132688
"1494",132688
"1495",132688
"1496",132688
"1497",132688
"1498",132688
"1499",132688
"1500",132688
"1501",132688
"1502",132688
"1503",132688
"1504",132688
"1505",132688
"1506",132688
"1507",132688
"1508",132688
"1509",132688
"1510",132688
"1511",132688
"1512",132688
"1513",132688
"1514",132688
"1515",132694
"1516",132694
"1517",132694
"1518",132694
"1519",132694
"1520",132694
"1521",132694
"1522",132694
"1523",132694
"1524",132694
"1525",132694
"1526",132694
"1527",132694
"1528",132694
"1529",132694
"1530",132694
"1531",132694
"1532",132694
"1533",132694
"1534",132694
"1535",132694
"1536",132694
"1537",132694
"1538",132694
"1539",132694
"1540",132694
"1541",132694
"1542",132694
"1543",132694
"1544",132694
"1545",132694
"1546",132694
"1547",132694
"1548",132694
"1549",132704
"1550",132704
"1551",132704
"1552",132704
"1553",132704
"1554",132704
"1555",132704
"1556",132704
"1557",132704
"1558",132704
"1559",132704
"1560",132704
"1561",132704
"1562",132704
"1563",132704
"1564",132704
"1565",132704
"1566",132704
"1567",132704
"1568",132704
"1569",132704
"1570",132704
"1571",132704
"1572",132704
"1573",132704
"1574",132704
"1575",132704
"1576",132704
"1577",132704
"1578",132704
"1579",132704
"1580",132704
"1581",132704
"1582",132704
"1583",132704
"1584",132704
"1585",132704
"1586",132704
"1587",132705
"1588",132705
"1589",132705
"1590",132705
"1591",132705
"1592",132705
"1593",132705
"1594",132705
"1595",132705
"1596",132705
"1597",132705
"1598",132705
"1599",132705
"1600",132705
"1601",132705
"1602",132705
"1603",132705
"1604",132705
"1605",132705
"1606",132705
"1607",132705
"1608",132705
"1609",132705
"1610",132705
"1611",132705
"1612",132705
"1613",132705
"1614",132705
"1615",132705
"1616",132705
"1617",132705
"1618",132705
"1619",132705
"1620",132705
"1621",132705
"1622",132705
"1623",132705
"1624",132705
"1625",132705
"1626",132705
"1627",132705
"1628",132705
"1629",132705
"1630",132705
"1631",132705
"1632",132705
"1633",132705
"1634",132705
"1635",132705
"1636",132705
"1637",132705
"1638",132705
"1639",132705
"1640",132705
"1641",132705
"1642",132705
"1643",132705
"1644",132705
"1645",132705
"1646",132705
"1647",132705
"1648",132705
"1649",132737
"1650",132737
"1651",132737
"1652",132737
"1653",132737
"1654",132737
"1655",132737
"1656",132737
"1657",132737
"1658",132737
"1659",132737
"1660",132737
"1661",132737
"1662",132737
"1663",132737
"1664",132737
"1665",132737
"1666",132737
"1667",132737
"1668",132737
"1669",132737
"1670",132737
"1671",132737
"1672",132737
"1673",132737
"1674",132737
"1675",132737
"1676",132737
"1677",132737
"1678",132737
"1679",132737
"1680",132737
"1681",132737
"1682",132737
"1683",132737
"1684",132737
"1685",132737
"1686",132737
"1687",132737
"1688",132737
"1689",132737
"1690",132737
"1691",132737
"1692",132737
"1693",132737
"1694",132737
"1695",132737
"1696",132737
"1697",132737
"1698",132737
"1699",132737
"1700",132737
"1701",132737
"1702",132737
"1703",132737
"1704",132737
"1705",132737
"1706",132737
"1707",132737
"1708",132737
"1709",132737
"1710",132737
"1711",132737
"1712",132737
"1713",132737
"1714",132737
"1715",132738
"1716",132738
"1717",132738
"1718",132738
"1719",132738
"1720",132738
"1721",132738
"1722",132738
"1723",132738
"1724",132738
"1725",132738
"1726",132738
"1727",132738
"1728",132738
"1729",132738
"1730",132738
"1731",132738
"1732",132738
"1733",132738
"1734",132738
"1735",132738
"1736",132738
"1737",132738
"1738",132738
"1739",132738
"1740",132738
"1741",132738
"1742",132738
"1743",132738
"1744",132738
"1745",132738
"1746",132738
"1747",132738
"1748",132738
"1749",132738
"1750",132738
"1751",132738
"1752",132738
"1753",132738
"1754",132738
"1755",132738
"1756",132738
"1757",132744
"1758",132744
"1759",132744
"1760",132744
"1761",132744
"1762",132744
"1763",132744
"1764",132744
"1765",132744
"1766",132744
"1767",132744
"1768",132744
"1769",132744
"1770",132744
"1771",132744
"1772",132744
"1773",132744
"1774",132744
"1775",132744
"1776",132744
"1777",132744
"1778",132744
"1779",132744
"1780",132744
"1781",132744
"1782",132744
"1783",132744
"1784",132744
"1785",132744
"1786",132744
"1787",132744
"1788",132744
"1789",132744
"1790",132744
"1791",132747
"1792",132747
"1793",132758
"1794",132758
"1795",132758
"1796",132758
"1797",132758
"1798",132758
"1799",132758
"1800",132758
"1801",132758
"1802",132758
"1803",132758
"1804",132758
"1805",132758
"1806",132758
"1807",132758
"1808",132758
"1809",132758
"1810",132758
"1811",132758
"1812",132758
"1813",132758
"1814",132758
"1815",132758
"1816",132758
"1817",132758
"1818",132758
"1819",132758
"1820",132758
"1821",132758
"1822",132758
"1823",132758
"1824",132758
"1825",132758
"1826",132758
"1827",132758
"1828",132758
"1829",132758
"1830",132758
"1831",132758
"1832",132758
"1833",132758
"1834",132758
"1835",132758
"1836",132758
"1837",132758
"1838",132758
"1839",132758
"1840",132758
"1841",132769
"1842",132769
"1843",132769
"1844",132769
"1845",132769
"1846",132769
"1847",132769
"1848",132769
"1849",132769
"1850",132769
"1851",132769
"1852",132769
"1853",132769
"1854",132769
"1855",132769
"1856",132769
"1857",132769
"1858",132769
"1859",132769
"1860",132769
"1861",132769
"1862",132769
"1863",132769
"1864",132769
"1865",132769
"1866",132769
"1867",132769
"1868",132769
"1869",132769
"1870",132769
"1871",132769
"1872",132776
"1873",132776
"1874",132776
"1875",132776
"1876",132776
"1877",132776
"1878",132776
"1879",132776
"1880",132776
"1881",132776
"1882",132776
"1883",132776
"1884",132776
"1885",132776
"1886",132776
"1887",132776
"1888",132776
"1889",132776
"1890",132776
"1891",132776
"1892",132776
"1893",132776
"1894",132776
"1895",132776
"1896",132776
"1897",132776
"1898",132776
"1899",132776
"1900",132776
"1901",132776
"1902",132781
"1903",132781
"1904",132781
"1905",132781
"1906",132781
"1907",132781
"1908",132781
"1909",132781
"1910",132781
"1911",132781
"1912",132781
"1913",132781
"1914",132781
"1915",132781
"1916",132781
"1917",132781
"1918",132781
"1919",132781
"1920",132781
"1921",132781
"1922",132781
"1923",132781
"1924",132781
"1925",132781
"1926",132781
"1927",132781
"1928",132781
"1929",132781
"1930",132781
"1931",132781
"1932",132781
"1933",132781
"1934",132781
"1935",132781
"1936",132781
"1937",132781
"1938",132781
"1939",132781
"1940",132781
"1941",132781
"1942",132781
"1943",132781
"1944",132781
"1945",132781
"1946",132781
"1947",132781
"1948",132790
"1949",132790
"1950",132790
"1951",132790
"1952",132790
"1953",132790
"1954",132790
"1955",132790
"1956",132790
"1957",132790
"1958",132790
"1959",132790
"1960",132790
"1961",132790
"1962",132790
"1963",132790
"1964",132790
"1965",132790
"1966",132790
"1967",132790
"1968",132790
"1969",132790
"1970",132790
"1971",132790
"1972",132790
"1973",132790
"1974",132790
"1975",132790
"1976",132790
"1977",132790
"1978",132790
"1979",132790
"1980",132790
"1981",132790
"1982",132790
"1983",132790
"1984",132790
"1985",132790
"1986",132790
"1987",132790
"1988",132790
"1989",132790
"1990",132790
"1991",132790
"1992",132790
"1993",132790
"1994",132790
"1995",132790
"1996",132790
"1997",132790
"1998",132790
"1999",132790
"2000",132790
"2001",132790
"2002",132790
"2003",132790
"2004",132790
"2005",132790
"2006",132790
"2007",132797
"2008",132797
"2009",132797
"2010",132797
"2011",132797
"2012",132797
"2013",132797
"2014",132797
"2015",132797
"2016",132797
"2017",132797
"2018",132797
"2019",132797
"2020",132797
"2021",132797
"2022",132797
"2023",132797
"2024",132797
"2025",132797
"2026",132797
"2027",132797
"2028",132797
"2029",132797
"2030",132797
"2031",132797
"2032",132797
"2033",132797
"2034",132797
"2035",132797
"2036",132797
"2037",132797
"2038",132797
"2039",132797
"2040",132797
"2041",132797
"2042",132797
"2043",132797
"2044",132797
"2045",132797
"2046",132797
"2047",132797
"2048",132797
"2049",132797
"2050",132797
"2051",132797
"2052",132797
"2053",132797
"2054",132797
"2055",132797
"2056",132797
"2057",132797
"2058",132797
"2059",132797
"2060",132797
"2061",132797
"2062",132797
"2063",132797
"2064",132797
"2065",132797
"2066",132797
"2067",132797
"2068",132797
"2069",132798
"2070",132798
"2071",132798
"2072",132798
"2073",132798
"2074",132798
"2075",132798
"2076",132798
"2077",132798
"2078",132798
"2079",132798
"2080",132798
"2081",132798
"2082",132798
"2083",132798
"2084",132798
"2085",132798
"2086",132798
"2087",132798
"2088",132798
"2089",132798
"2090",132798
"2091",132798
"2092",132798
"2093",132798
"2094",132798
"2095",132798
"2096",132798
"2097",132798
"2098",132798
"2099",132798
"2100",132798
"2101",132798
"2102",132798
"2103",132798
"2104",132798
"2105",132798
"2106",132798
"2107",132798
"2108",132798
"2109",132798
"2110",132798
"2111",132798
"2112",132798
"2113",132798
"2114",132798
"2115",132798
"2116",132798
"2117",132798
"2118",132798
"2119",132798
"2120",132798
"2121",132798
"2122",132798
"2123",132798
"2124",132798
"2125",132798
"2126",132798
"2127",132798
"2128",132798
"2129",132798
"2130",132801
"2131",132801
"2132",132801
"2133",132801
"2134",132801
"2135",132801
"2136",132801
"2137",132801
"2138",132801
"2139",132801
"2140",132801
"2141",132801
